period,tickers,alpha,cosine_corr_vec,hybrid_corr_vec
Q1 2022,META|GOOG|KO|PEP,0.6,"[0.34876555048399593, -0.6918122256723073, -0.638088105608638, -0.6541052272842374, -0.6039358675849283, 0.5746219267749455]","[0.4281352754786584, -0.6107874112333092, -0.5773161189549714, -0.5921650199282429, -0.5607096572964527, 0.6365897640191418]"
Q1 2023,META|GOOG|KO|PEP,0.6,"[0.3750936727105682, -0.6372760963356598, -0.6357638689674248, -0.632569352868014, -0.6243202917209817, 0.5678320014882051]","[0.4478311953185408, -0.5831086399311419, -0.5785413105735249, -0.5795480363583912, -0.5711715325014493, 0.6315754624326124]"
Q1 2024,META|GOOG|KO|PEP,0.6,"[0.41709708748641294, -0.6613789659061041, -0.6790726598345034, -0.598378308694773, -0.5976866585953122, 0.509012244944328]","[0.47650402527035407, -0.5979390399027683, -0.606311191254626, -0.5565022684641316, -0.5544937713003244, 0.5905477638944381]"
Q1 2025,META|GOOG|KO|PEP,0.6,"[0.4448629505029403, -0.6799889977111131, -0.7044011367409918, -0.6450415889912559, -0.5886187584033385, 0.6300744432772314]","[0.495168670898524, -0.6010972694452135, -0.6216495132605937, -0.5764015692810254, -0.5502482560708182, 0.666639404264427]"
Q2 2022,META|GOOG|KO|PEP,0.6,"[0.37518113301699607, -0.7075692828706215, -0.6579908627841913, -0.6334760654386196, -0.5967034782087549, 0.6086606807161516]","[0.4458210260727138, -0.6218187963261305, -0.5878837637147565, -0.5813330536010981, -0.5547646453717565, 0.6599315723032887]"
Q2 2023,META|GOOG|KO|PEP,0.6,"[0.40874623661527887, -0.6209318405063778, -0.6482884010849956, -0.6638609172857851, -0.6123455394513885, 0.5804159245717407]","[0.469706362779425, -0.5602571979491746, -0.5859188095582057, -0.5830310579642528, -0.5634192790383253, 0.622978940264554]"
Q2 2024,META|GOOG|KO|PEP,0.6,"[0.4118877791284096, -0.6691122040450213, -0.6757750371763871, -0.6264869757206788, -0.5838789265636555, 0.5873857374281239]","[0.47248266122581517, -0.6033458150443919, -0.606518806741136, -0.5743866489162361, -0.5493839833085683, 0.6500304364656873]"
Q2 2025,META|GOOG|KO|PEP,0.6,"[0.42215022659602386, -0.6967665250415022, -0.6936201560237965, -0.612766671475864, -0.5847728745696348, 0.5810876176088143]","[0.4780926415593534, -0.6180921770100185, -0.6146908674734815, -0.5632433801681237, -0.5457847792237991, 0.6412762583547852]"
Q3 2022,META|GOOG|KO|PEP,0.6,"[0.31693144360283104, -0.6695171200463597, -0.5871117156915047, -0.6475927048876247, -0.6219969511994722, 0.5958584099697392]","[0.4069173687251712, -0.6016493052537182, -0.541390277954436, -0.5843240740977407, -0.557184848519825, 0.6337971801640092]"
Q3 2023,META|GOOG|KO|PEP,0.6,"[0.4702719456189182, -0.6679182813786323, -0.6274352651692924, -0.5760726469464844, -0.6032719973672755, 0.5664343619703439]","[0.5127847244716324, -0.6000214748138951, -0.5731125986135323, -0.5458545386180034, -0.5577825620337851, 0.6286224536600462]"
Q3 2025,META|GOOG|KO|PEP,0.6,"[0.48142477683743445, -0.667908204745985, -0.6577823595724227, -0.6445263940718444, -0.5703629726074485, 0.5977899540572145]","[0.5228560757770409, -0.5949460882757991, -0.5954301963300507, -0.5781520423698974, -0.5417302714242609, 0.643628661258987]"
Q4 2022,META|GOOG|KO|PEP,0.6,"[0.32645992226657183, -0.6675366546609522, -0.6968440684915004, -0.6295615572718262, -0.5882136807052457, 0.6122571425911897]","[0.41503151241085734, -0.6029864736739614, -0.616025316177067, -0.5778064877096676, -0.550602969939733, 0.6651533476470924]"
Q4 2023,META|GOOG|KO|PEP,0.6,"[0.40118729667336134, -0.7028340658777454, -0.7071398700404302, -0.6423950818845252, -0.5943288579617184, 0.615642613754767]","[0.4651044400843778, -0.6209273643789076, -0.6228390408281056, -0.5819128347597395, -0.5538811548834519, 0.6660069382339098]"
Q4 2024,META|GOOG|KO|PEP,0.6,"[0.4420180004195218, -0.6860477650120939, -0.7089603737120775, -0.6115449566599003, -0.5668308154296446, 0.5986890545414975]","[0.4920730764055379, -0.6089974489346935, -0.6218126516552385, -0.5616220281254637, -0.5357801720191131, 0.65020652572786]"
